"RegionName","HousingType","Time","Value"
"San Francisco","All Homes",2012-06-01,3.03154495777447
"Seattle","All Homes",2012-06-01,1.51351078846542
"New York","Condominium",2012-06-01,NA
"Los Angeles","Condominium",2012-06-01,1.83968117719191
"San Francisco","Condominium",2012-06-01,3.36666666666667
"Seattle","Condominium",2012-06-01,1.71349749202006
"Los Angeles","Single Family Residence",2012-06-01,1.82699478001491
"San Francisco","Single Family Residence",2012-06-01,NA
"Seattle","Single Family Residence",2012-06-01,NA
"Los Angeles","1 Bedroom",2012-07-01,2.1
"San Francisco","1 Bedroom",2012-07-01,3.6962962962963
"Seattle","1 Bedroom",2012-07-01,1.94931773879142
"Los Angeles","2 Bedroom",2012-07-01,1.91341539597354
"San Francisco","2 Bedroom",2012-07-01,3.30548068283917
"Los Angeles","3 Bedroom",2012-07-01,1.70051138049905
"San Francisco","3 Bedroom",2012-07-01,NA
"Seattle","3 Bedroom",2012-07-01,1.32530120481928
"Los Angeles","4 Bedroom",2012-07-01,1.48309426229508
"Seattle","4 Bedroom",2012-07-01,1.11745341614907
"New York","All Homes",2012-07-01,NA
"Los Angeles","All Homes",2012-07-01,1.78469241773963
"San Francisco","All Homes",2012-07-01,3.11470588235294
"Seattle","All Homes",2012-07-01,1.48767150526944
"New York","Condominium",2012-07-01,NA
"Los Angeles","Condominium",2012-07-01,1.83322798145807
"San Francisco","Condominium",2012-07-01,3.50789297894034
"Seattle","Condominium",2012-07-01,1.66666666666667
"Los Angeles","Single Family Residence",2012-07-01,1.73467161248091
"San Francisco","Single Family Residence",2012-07-01,NA
"Seattle","Single Family Residence",2012-07-01,NA
"Los Angeles","1 Bedroom",2012-08-01,2.1027027027027
"San Francisco","1 Bedroom",2012-08-01,3.62529274004684
"Seattle","1 Bedroom",2012-08-01,1.99637023593466
"Los Angeles","2 Bedroom",2012-08-01,1.90762978930455
"San Francisco","2 Bedroom",2012-08-01,3.2
"Los Angeles","3 Bedroom",2012-08-01,1.70927601809955
"San Francisco","3 Bedroom",2012-08-01,NA
"Seattle","3 Bedroom",2012-08-01,1.2922966162707
"Los Angeles","4 Bedroom",2012-08-01,1.46666666666667
"Seattle","4 Bedroom",2012-08-01,1.15511551155116
"New York","All Homes",2012-08-01,NA
"Los Angeles","All Homes",2012-08-01,1.78366772467406
"San Francisco","All Homes",2012-08-01,3.03390756872182
"Seattle","All Homes",2012-08-01,1.48649875492841
"New York","Condominium",2012-08-01,NA
"Los Angeles","Condominium",2012-08-01,1.85373501369048
"San Francisco","Condominium",2012-08-01,3.42857142857143
"Seattle","Condominium",2012-08-01,1.72432432432432
"Los Angeles","Single Family Residence",2012-08-01,1.71409710462073
"San Francisco","Single Family Residence",2012-08-01,NA
"Seattle","Single Family Residence",2012-08-01,NA
"Los Angeles","1 Bedroom",2012-09-01,2.13603896103896
"San Francisco","1 Bedroom",2012-09-01,3.66984126984127
"Seattle","1 Bedroom",2012-09-01,2.06333973128599
"Los Angeles","2 Bedroom",2012-09-01,1.94255111976631
"San Francisco","2 Bedroom",2012-09-01,3.27563738645747
"Los Angeles","3 Bedroom",2012-09-01,1.70058661077857
"San Francisco","3 Bedroom",2012-09-01,NA
"Seattle","3 Bedroom",2012-09-01,1.26179346427652
"Los Angeles","4 Bedroom",2012-09-01,1.5234375
"Seattle","4 Bedroom",2012-09-01,1.13928571428571
"New York","All Homes",2012-09-01,NA
"Los Angeles","All Homes",2012-09-01,1.82098765432099
"San Francisco","All Homes",2012-09-01,2.95602273463034
"Seattle","All Homes",2012-09-01,1.50391221957332
"New York","Condominium",2012-09-01,NA
"Los Angeles","Condominium",2012-09-01,1.9180470793374
"San Francisco","Condominium",2012-09-01,3.33930704898447
"Seattle","Condominium",2012-09-01,1.81978421108856
"Los Angeles","Single Family Residence",2012-09-01,1.75749731366611
"San Francisco","Single Family Residence",2012-09-01,NA
"Seattle","Single Family Residence",2012-09-01,NA
"Los Angeles","1 Bedroom",2012-10-01,2.11805555555556
"San Francisco","1 Bedroom",2012-10-01,3.73198566460862
"Seattle","1 Bedroom",2012-10-01,2.12889758253997
"Los Angeles","2 Bedroom",2012-10-01,1.92615658362989
"San Francisco","2 Bedroom",2012-10-01,3.2
"Los Angeles","3 Bedroom",2012-10-01,1.66773572803079
"San Francisco","3 Bedroom",2012-10-01,NA
"Seattle","3 Bedroom",2012-10-01,1.29404956427015
"Los Angeles","4 Bedroom",2012-10-01,1.44267274107821
"Seattle","4 Bedroom",2012-10-01,1.12372510927635
"New York","All Homes",2012-10-01,NA
